# Dec (deg)	HA (hours)	Track len (sec)	Azimuth Angle (rad)
-76.0000000000	-0.6328770139	4629.3211293221	3.1424197344
-76.0000000000	-0.6323294329	4619.3211293221	3.1423677859
-76.0000000000	-0.6317818518	4619.3211293221	3.1424437623
-76.0000000000	-0.6312342708	4609.3211293221	3.1423909035
-76.0000000000	-0.6306866897	4609.3211293221	3.1424658273
-76.0000000000	-0.6000000000	4509.3211293221	3.1438849805
-76.0000000000	-0.4000000000	3789.3211293221	3.1530863352
-76.0000000000	-0.2000000000	3079.3211293221	3.1624279938
-76.0000000000	0.0000000000	2359.3211293221	3.1716072105
-76.0000000000	0.2000000000	1639.3211293221	3.1807065125
-76.0000000000	0.4000000000	929.3211293221	3.1898092813
-76.0000000000	0.6000000000	209.3211293221	3.1986152972
-75.7500000000	-0.8997262039	6535.0526065826	3.1423155644
-75.7500000000	-0.8991786228	6525.0526065826	3.1422623503
-75.7500000000	-0.8986310418	6525.0526065826	3.1423379514
-75.7500000000	-0.8980834607	6515.0526065826	3.1422836999
-75.7500000000	-0.8975358797	6515.0526065826	3.1423581303
-75.7500000000	-0.8000000000	6175.0526065826	3.1469138137
-75.7500000000	-0.6000000000	5455.0526065826	3.1562605403
-75.7500000000	-0.4000000000	4745.0526065826	3.1657964004
-75.7500000000	-0.2000000000	4025.0526065826	3.1752155506
-75.7500000000	0.0000000000	3305.0526065826	3.1845996142
-75.7500000000	0.2000000000	2595.0526065826	3.1940304480
-75.7500000000	0.4000000000	1875.0526065826	3.2032028786
-75.7500000000	0.6000000000	1155.0526065826	3.2122011892
-75.7500000000	0.8000000000	445.0526065826	3.2211118050
-75.5000000000	-1.0997262039	7962.3762259483	3.1422273785
-75.5000000000	-1.0991786228	7952.3762259483	3.1421729911
-75.5000000000	-1.0986310418	7952.3762259483	3.1422479536
-75.5000000000	-1.0980834607	7942.3762259483	3.1421924109
-75.5000000000	-1.0975358797	7942.3762259483	3.1422660929
-75.5000000000	-1.0000000000	7602.3762259483	3.1468546126
-75.5000000000	-0.8000000000	6882.3762259483	3.1562962387
-75.5000000000	-0.6000000000	6172.3762259483	3.1659776574
-75.5000000000	-0.4000000000	5452.3762259483	3.1755913524
-75.5000000000	-0.2000000000	4732.3762259483	3.1852183341
-75.5000000000	0.0000000000	4022.3762259483	3.1949391458
-75.5000000000	0.2000000000	3302.3762259483	3.2044448516
-75.5000000000	0.4000000000	2582.3762259483	3.2138171535
-75.5000000000	0.6000000000	1872.3762259483	3.2231393861
-75.5000000000	0.8000000000	1152.3762259483	3.2321074465
-75.5000000000	1.0000000000	432.3762259483	3.2408097404
-75.2500000000	-1.2663016089	9141.6160945892	3.1420308101
-75.2500000000	-1.2657540278	9131.6160945892	3.1419752743
-75.2500000000	-1.2652064468	9131.6160945892	3.1420494455
-75.2500000000	-1.2646588657	9121.6160945892	3.1419926455
-75.2500000000	-1.2641112847	9121.6160945892	3.1420654355
-75.2500000000	-1.2000000000	8901.6160945892	3.1450978954
-75.2500000000	-1.0000000000	8181.6160945892	3.1545807144
-75.2500000000	-0.8000000000	7471.6160945892	3.1643552307
-75.2500000000	-0.6000000000	6751.6160945892	3.1741133931
-75.2500000000	-0.4000000000	6031.6160945892	3.1839361662
-75.2500000000	-0.2000000000	5321.6160945892	3.1939032890
-75.2500000000	0.0000000000	4601.6160945892	3.2037030359
-75.2500000000	0.2000000000	3881.6160945892	3.2134148481
-75.2500000000	0.4000000000	3171.6160945892	3.2231191669
-75.2500000000	0.6000000000	2451.6160945892	3.2325072136
-75.2500000000	0.8000000000	1731.6160945892	3.2416635195
